card_number,customer_id,card_type,card_limit,outstanding_amount,status,issued_date,expiry_date
CARD00010052,CUST00900,Debit,0.0,0.0,Active,2020-12-09,2024-12-08
CARD00010053,CUST00852,Credit,20000.0,6967.92,Active,2018-08-14,2022-08-13
CARD00010054,CUST00827,Debit,0.0,0.0,Active,2023-01-23,2027-01-22
CARD00010055,CUST00315,Debit,0.0,0.0,Blocked,2021-11-18,2025-11-17
CARD00010056,CUST00246,Credit,20000.0,11678.09,Active,2023-08-17,2027-08-16
CARD00010057,CUST00060,Credit,5000.0,2789.05,Active,2020-10-31,2024-10-30
CARD00010058,CUST00247,Debit,0.0,0.0,Active,2023-01-23,2027-01-22
CARD00010059,CUST00900,Debit,0.0,0.0,Active,2018-07-17,2022-07-16
CARD00010060,CUST00581,Debit,0.0,0.0,Active,2021-05-23,2025-05-22
CARD00010061,CUST00970,Debit,0.0,0.0,Active,2021-03-24,2025-03-23
CARD00010062,CUST00081,Credit,5000.0,3459.67,Active,2022-10-24,2026-10-23
CARD00010063,CUST00088,Debit,0.0,0.0,Active,2021-09-28,2025-09-27
CARD00010064,CUST00750,Debit,0.0,0.0,Active,2019-08-26,2023-08-25
CARD00010065,CUST00498,Credit,5000.0,1719.73,Active,2023-04-10,2027-04-09
CARD00010066,CUST00836,Debit,0.0,0.0,Active,2022-07-22,2026-07-21
CARD00010067,CUST00071,Credit,20000.0,4018.87,Active,2021-08-08,2025-08-07
CARD00010068,CUST00779,Debit,0.0,0.0,Active,2020-03-21,2024-03-20
CARD00010069,CUST00546,Debit,0.0,0.0,Active,2021-09-14,2025-09-13
CARD00010070,CUST00785,Credit,50000.0,23358.6,Active,2022-01-26,2026-01-25
CARD00010071,CUST00129,Debit,0.0,0.0,Active,2021-11-21,2025-11-20
CARD00010072,CUST00132,Debit,0.0,0.0,Active,2023-03-19,2027-03-18
CARD00010073,CUST00676,Debit,0.0,0.0,Active,2019-11-28,2023-11-27
CARD00010074,CUST00487,Debit,0.0,0.0,Active,2020-02-23,2024-02-22
CARD00010075,CUST00970,Debit,0.0,0.0,Active,2023-08-07,2027-08-06
CARD00010076,CUST00563,Debit,0.0,0.0,Active,2022-07-26,2026-07-25
CARD00010077,CUST00170,Debit,0.0,0.0,Active,2020-01-05,2024-01-04
CARD00010078,CUST00272,Debit,0.0,0.0,Active,2020-07-12,2024-07-11
CARD00010079,CUST00541,Credit,50000.0,7344.87,Active,2022-05-16,2026-05-15
CARD00010080,CUST00894,Debit,0.0,0.0,Active,2020-09-25,2024-09-24
CARD00010081,CUST00622,Debit,0.0,0.0,Active,2021-05-19,2025-05-18
CARD00010082,CUST00434,Debit,0.0,0.0,Active,2019-11-09,2023-11-08
CARD00010083,CUST00988,Credit,10000.0,6137.08,Active,2018-12-02,2022-12-01
CARD00010084,CUST00217,Credit,20000.0,7940.3,Active,2023-05-10,2027-05-09
CARD00010085,CUST00952,Credit,50000.0,9801.99,Active,2020-11-04,2024-11-03
CARD00010086,CUST00553,Credit,5000.0,461.14,Active,2022-04-07,2026-04-06
CARD00010087,CUST00774,Debit,0.0,0.0,Active,2023-04-07,2027-04-06
CARD00010088,CUST00748,Credit,20000.0,23.7,Active,2022-06-07,2026-06-06
CARD00010089,CUST00707,Debit,0.0,0.0,Active,2021-01-12,2025-01-11
CARD00010090,CUST00206,Debit,0.0,0.0,Active,2018-09-09,2022-09-08
CARD00010091,CUST00731,Credit,50000.0,611.3,Active,2020-03-14,2024-03-13
CARD00010092,CUST00320,Debit,0.0,0.0,Active,2019-03-03,2023-03-02
CARD00010093,CUST00409,Debit,0.0,0.0,Active,2020-01-02,2024-01-01
CARD00010094,CUST00688,Credit,20000.0,1540.43,Active,2021-03-03,2025-03-02
CARD00010095,CUST00666,Debit,0.0,0.0,Active,2018-08-12,2022-08-11
CARD00010096,CUST00383,Debit,0.0,0.0,Active,2023-07-16,2027-07-15
CARD00010097,CUST00449,Credit,5000.0,1045.91,Active,2019-02-07,2023-02-06
CARD00010098,CUST00922,Debit,0.0,0.0,Active,2019-04-30,2023-04-29
CARD00010099,CUST00530,Credit,50000.0,2587.14,Active,2022-08-30,2026-08-29
CARD00010100,CUST00463,Credit,50000.0,28729.53,Active,2020-02-24,2024-02-23
