card_number,customer_id,card_type,card_limit,outstanding_amount,status,issued_date,expiry_date
CARD98050,CUST98128,Visa Gold,12728.0,2525.95,Active,2025-01-15,2030-01-15
CARD98051,CUST98448,Amex Elite,29711.44,492.84,Active,2025-01-15,2030-01-15
CARD98052,CUST98786,Mastercard Standard,14767.92,574.07,Active,2025-01-15,2030-01-15
CARD98053,CUST98794,Mastercard Standard,17433.28,6869.92,Active,2025-01-15,2030-01-15
CARD98054,CUST98615,Visa Platinum,10308.33,705.14,Active,2025-01-15,2030-01-15
CARD98055,CUST98892,Amex Elite,13913.18,5746.92,Active,2025-01-15,2030-01-15
CARD98056,CUST98712,Visa Gold,37496.34,2209.21,Active,2025-01-15,2030-01-15
CARD98057,CUST98058,Mastercard Standard,12435.55,4710.66,Active,2025-01-15,2030-01-15
CARD98058,CUST98472,Visa Platinum,14973.64,4829.62,Active,2025-01-15,2030-01-15
CARD98059,CUST98658,Amex Elite,9419.39,9581.79,Active,2025-01-15,2030-01-15
CARD98060,CUST98567,Mastercard Standard,21812.06,2653.25,Active,2025-01-15,2030-01-15
CARD98061,CUST98535,Visa Platinum,36928.91,5391.04,Active,2025-01-15,2030-01-15
CARD98062,CUST98702,Visa Gold,16391.2,5656.47,Active,2025-01-15,2030-01-15
CARD98063,CUST98867,Visa Platinum,43183.53,5271.33,Active,2025-01-15,2030-01-15
CARD98064,CUST98118,Visa Platinum,32364.2,1884.14,Active,2025-01-15,2030-01-15
CARD98065,CUST98687,Visa Platinum,30181.64,9796.23,Active,2025-01-15,2030-01-15
CARD98066,CUST98953,Visa Platinum,2982.46,7856.47,Active,2025-01-15,2030-01-15
CARD98067,CUST98070,Visa Platinum,25131.53,5388.67,Active,2025-01-15,2030-01-15
CARD98068,CUST98032,Visa Platinum,40684.55,2090.03,Active,2025-01-15,2030-01-15
CARD98069,CUST98352,Amex Elite,20237.42,9337.36,Active,2025-01-15,2030-01-15
CARD98070,CUST98816,Visa Gold,44955.85,5270.72,Active,2025-01-15,2030-01-15
CARD98071,CUST98515,Visa Platinum,30903.0,9981.97,Active,2025-01-15,2030-01-15
CARD98072,CUST98129,Visa Platinum,40962.91,6386.68,Active,2025-01-15,2030-01-15
CARD98073,CUST98653,Mastercard Standard,3903.95,3501.89,Active,2025-01-15,2030-01-15
CARD98074,CUST98428,Visa Gold,17873.67,8878.83,Active,2025-01-15,2030-01-15
CARD98075,CUST98833,Visa Gold,7769.28,3705.73,Active,2025-01-15,2030-01-15
CARD98076,CUST98982,Amex Elite,24439.96,8973.33,Active,2025-01-15,2030-01-15
CARD98077,CUST98121,Visa Platinum,24352.11,9365.47,Active,2025-01-15,2030-01-15
CARD98078,CUST98200,Mastercard Standard,30647.1,793.63,Active,2025-01-15,2030-01-15
CARD98079,CUST98557,Amex Elite,21798.91,6035.25,Active,2025-01-15,2030-01-15
CARD98080,CUST98581,Mastercard Standard,11308.56,9441.92,Active,2025-01-15,2030-01-15
CARD98081,CUST98037,Mastercard Standard,7908.46,1190.66,Active,2025-01-15,2030-01-15
CARD98082,CUST98021,Mastercard Standard,33477.8,3345.87,Active,2025-01-15,2030-01-15
CARD98083,CUST98830,Visa Gold,18109.47,5177.01,Active,2025-01-15,2030-01-15
CARD98084,CUST98360,Mastercard Standard,47225.68,2630.29,Active,2025-01-15,2030-01-15
CARD98085,CUST98649,Amex Elite,26439.88,6817.41,Active,2025-01-15,2030-01-15
CARD98086,CUST98215,Amex Elite,26469.38,7261.61,Active,2025-01-15,2030-01-15
CARD98087,CUST98905,Mastercard Standard,41217.92,1362.18,Active,2025-01-15,2030-01-15
CARD98088,CUST98853,Mastercard Standard,33516.22,7276.71,Active,2025-01-15,2030-01-15
CARD98089,CUST98662,Mastercard Standard,43740.77,284.6,Active,2025-01-15,2030-01-15
CARD98090,CUST98909,Mastercard Standard,28097.23,7618.77,Active,2025-01-15,2030-01-15
CARD98091,CUST98493,Amex Elite,29268.03,6533.77,Active,2025-01-15,2030-01-15
CARD98092,CUST98096,Visa Platinum,19831.68,159.01,Active,2025-01-15,2030-01-15
CARD98093,CUST98689,Mastercard Standard,1309.52,6464.72,Active,2025-01-15,2030-01-15
CARD98094,CUST98306,Visa Platinum,10111.33,5499.46,Active,2025-01-15,2030-01-15
CARD98095,CUST98547,Visa Gold,15614.27,4737.57,Active,2025-01-15,2030-01-15
CARD98096,CUST98949,Amex Elite,47453.56,2216.16,Active,2025-01-15,2030-01-15
CARD98097,CUST98240,Amex Elite,45505.89,8498.09,Active,2025-01-15,2030-01-15
CARD98098,CUST98993,Visa Platinum,35851.32,615.61,Active,2025-01-15,2030-01-15
CARD98099,CUST98212,Mastercard Standard,21003.41,4311.08,Active,2025-01-15,2030-01-15
CARD98100,CUST98425,Visa Platinum,27165.86,4649.58,Active,2025-01-15,2030-01-15
CARD98101,CUST98351,Visa Platinum,49190.17,8099.36,Active,2025-01-15,2030-01-15
CARD98102,CUST98980,Mastercard Standard,6162.52,8537.3,Active,2025-01-15,2030-01-15
CARD98103,CUST98092,Amex Elite,40774.46,2253.45,Active,2025-01-15,2030-01-15
CARD98104,CUST98701,Mastercard Standard,5318.5,2015.98,Active,2025-01-15,2030-01-15
CARD98105,CUST98705,Visa Gold,19073.06,6271.24,Active,2025-01-15,2030-01-15
CARD98106,CUST98180,Visa Gold,22533.22,2414.57,Active,2025-01-15,2030-01-15
CARD98107,CUST98835,Visa Gold,12669.78,7396.94,Active,2025-01-15,2030-01-15
CARD98108,CUST98637,Visa Platinum,17999.52,8487.96,Active,2025-01-15,2030-01-15
CARD98109,CUST98025,Visa Gold,2371.01,8350.79,Active,2025-01-15,2030-01-15
CARD98110,CUST98227,Amex Elite,30214.16,5171.06,Active,2025-01-15,2030-01-15
CARD98111,CUST98912,Amex Elite,39289.44,9393.55,Active,2025-01-15,2030-01-15
CARD98112,CUST98495,Visa Platinum,37042.81,9439.28,Active,2025-01-15,2030-01-15
CARD98113,CUST98121,Visa Platinum,14322.32,5170.99,Active,2025-01-15,2030-01-15
CARD98114,CUST98130,Visa Platinum,12522.49,5419.9,Active,2025-01-15,2030-01-15
CARD98115,CUST98729,Visa Platinum,26780.39,575.77,Active,2025-01-15,2030-01-15
CARD98116,CUST98137,Visa Gold,34289.1,7357.2,Active,2025-01-15,2030-01-15
CARD98117,CUST98487,Visa Platinum,10210.33,4766.2,Active,2025-01-15,2030-01-15
CARD98118,CUST98452,Amex Elite,17304.21,6984.5,Active,2025-01-15,2030-01-15
CARD98119,CUST98010,Amex Elite,17298.93,1757.45,Active,2025-01-15,2030-01-15
CARD98120,CUST98032,Amex Elite,26886.27,8565.22,Active,2025-01-15,2030-01-15
CARD98121,CUST98895,Amex Elite,14239.07,6895.63,Active,2025-01-15,2030-01-15
CARD98122,CUST98344,Mastercard Standard,33326.23,4998.79,Active,2025-01-15,2030-01-15
CARD98123,CUST98308,Amex Elite,45963.58,6491.3,Active,2025-01-15,2030-01-15
CARD98124,CUST98401,Visa Platinum,16456.15,2050.06,Active,2025-01-15,2030-01-15
CARD98125,CUST98612,Mastercard Standard,46302.67,3413.99,Active,2025-01-15,2030-01-15
CARD98126,CUST98713,Mastercard Standard,17210.64,5848.91,Active,2025-01-15,2030-01-15
CARD98127,CUST98782,Mastercard Standard,46225.58,8942.15,Active,2025-01-15,2030-01-15
CARD98128,CUST98483,Visa Platinum,35365.84,9859.43,Active,2025-01-15,2030-01-15
CARD98129,CUST98054,Visa Platinum,13318.45,7671.02,Active,2025-01-15,2030-01-15
CARD98130,CUST98842,Mastercard Standard,16894.92,7966.18,Active,2025-01-15,2030-01-15
CARD98131,CUST98742,Visa Gold,4539.0,8680.73,Active,2025-01-15,2030-01-15
CARD98132,CUST98897,Visa Gold,10918.92,6597.32,Active,2025-01-15,2030-01-15
CARD98133,CUST98623,Amex Elite,15311.1,7877.92,Active,2025-01-15,2030-01-15
CARD98134,CUST98176,Visa Platinum,13505.41,5229.87,Active,2025-01-15,2030-01-15
CARD98135,CUST98806,Visa Gold,45244.19,3311.34,Active,2025-01-15,2030-01-15
CARD98136,CUST98991,Visa Gold,37795.54,2001.02,Active,2025-01-15,2030-01-15
CARD98137,CUST98440,Visa Platinum,47241.71,5120.51,Active,2025-01-15,2030-01-15
CARD98138,CUST98406,Visa Platinum,14856.61,7903.29,Active,2025-01-15,2030-01-15
CARD98139,CUST98285,Visa Platinum,7147.34,8939.07,Active,2025-01-15,2030-01-15
CARD98140,CUST98455,Amex Elite,5486.35,2987.4,Active,2025-01-15,2030-01-15
CARD98141,CUST98656,Visa Platinum,45774.03,5880.72,Active,2025-01-15,2030-01-15
CARD98142,CUST98279,Visa Gold,13004.37,8035.43,Active,2025-01-15,2030-01-15
CARD98143,CUST98976,Visa Platinum,9473.05,651.23,Active,2025-01-15,2030-01-15
CARD98144,CUST98809,Mastercard Standard,6039.7,7058.86,Active,2025-01-15,2030-01-15
CARD98145,CUST98996,Visa Platinum,26242.48,675.61,Active,2025-01-15,2030-01-15
CARD98146,CUST98620,Mastercard Standard,30665.28,8665.94,Active,2025-01-15,2030-01-15
CARD98147,CUST98710,Mastercard Standard,26370.21,4436.28,Active,2025-01-15,2030-01-15
CARD98148,CUST98371,Visa Platinum,15217.0,3379.68,Active,2025-01-15,2030-01-15
CARD98149,CUST98831,Visa Gold,28306.54,5066.17,Active,2025-01-15,2030-01-15
CARD98150,CUST98543,Visa Platinum,29796.17,3183.2,Active,2025-01-15,2030-01-15
CARD98151,CUST98954,Visa Gold,6094.42,7027.85,Active,2025-01-15,2030-01-15
CARD98152,CUST98142,Visa Platinum,46583.33,2870.6,Active,2025-01-15,2030-01-15
CARD98153,CUST98089,Mastercard Standard,33453.0,7555.39,Active,2025-01-15,2030-01-15
CARD98154,CUST98360,Mastercard Standard,28147.65,3313.24,Active,2025-01-15,2030-01-15
CARD98155,CUST98055,Visa Platinum,24535.84,8789.59,Active,2025-01-15,2030-01-15
CARD98156,CUST98251,Amex Elite,5292.21,9846.41,Active,2025-01-15,2030-01-15
CARD98157,CUST98715,Visa Gold,38346.88,4294.66,Active,2025-01-15,2030-01-15
CARD98158,CUST98047,Amex Elite,46457.72,5565.57,Active,2025-01-15,2030-01-15
CARD98159,CUST98313,Visa Gold,38406.89,1788.18,Active,2025-01-15,2030-01-15
CARD98160,CUST98879,Mastercard Standard,6216.55,5302.4,Active,2025-01-15,2030-01-15
CARD98161,CUST98357,Mastercard Standard,10220.37,6059.92,Active,2025-01-15,2030-01-15
CARD98162,CUST981000,Visa Platinum,48589.52,9528.75,Active,2025-01-15,2030-01-15
CARD98163,CUST98957,Visa Gold,3328.23,7944.74,Active,2025-01-15,2030-01-15
CARD98164,CUST98419,Amex Elite,27457.32,8987.42,Active,2025-01-15,2030-01-15
CARD98165,CUST98699,Visa Platinum,15334.57,9017.85,Active,2025-01-15,2030-01-15
CARD98166,CUST98464,Visa Gold,42061.53,8119.99,Active,2025-01-15,2030-01-15
CARD98167,CUST98535,Visa Gold,19310.65,5147.89,Active,2025-01-15,2030-01-15
CARD98168,CUST98973,Visa Gold,46917.84,3484.86,Active,2025-01-15,2030-01-15
CARD98169,CUST98119,Visa Platinum,16480.97,6245.0,Active,2025-01-15,2030-01-15
CARD98170,CUST98153,Visa Platinum,42646.79,1845.03,Active,2025-01-15,2030-01-15
CARD98171,CUST98944,Visa Gold,12212.14,829.41,Active,2025-01-15,2030-01-15
CARD98172,CUST98984,Amex Elite,34788.58,536.04,Active,2025-01-15,2030-01-15
CARD98173,CUST98111,Visa Gold,11900.02,4223.75,Active,2025-01-15,2030-01-15
CARD98174,CUST98729,Amex Elite,47749.87,7611.58,Active,2025-01-15,2030-01-15
CARD98175,CUST98562,Visa Gold,6340.63,1530.31,Active,2025-01-15,2030-01-15
CARD98176,CUST98405,Visa Platinum,9178.55,6466.63,Active,2025-01-15,2030-01-15
CARD98177,CUST98064,Amex Elite,4789.9,4679.16,Active,2025-01-15,2030-01-15
CARD98178,CUST98977,Visa Gold,18247.56,1483.28,Active,2025-01-15,2030-01-15
CARD98179,CUST98697,Amex Elite,41617.66,731.16,Active,2025-01-15,2030-01-15
CARD98180,CUST98468,Visa Platinum,42849.19,3817.43,Active,2025-01-15,2030-01-15
CARD98181,CUST98082,Visa Platinum,18335.23,6275.55,Active,2025-01-15,2030-01-15
CARD98182,CUST98501,Visa Gold,1669.43,5391.08,Active,2025-01-15,2030-01-15
CARD98183,CUST98071,Visa Gold,11311.5,6070.56,Active,2025-01-15,2030-01-15
CARD98184,CUST98943,Amex Elite,29220.97,8979.39,Active,2025-01-15,2030-01-15
CARD98185,CUST98834,Visa Gold,26449.43,354.82,Active,2025-01-15,2030-01-15
CARD98186,CUST98658,Mastercard Standard,10122.42,2684.38,Active,2025-01-15,2030-01-15
CARD98187,CUST98979,Visa Gold,14436.21,1994.27,Active,2025-01-15,2030-01-15
CARD98188,CUST98121,Mastercard Standard,7036.11,7677.2,Active,2025-01-15,2030-01-15
CARD98189,CUST98448,Amex Elite,38806.51,6834.11,Active,2025-01-15,2030-01-15
CARD98190,CUST98843,Visa Platinum,20266.02,5967.72,Active,2025-01-15,2030-01-15
CARD98191,CUST98424,Visa Platinum,41701.19,8768.63,Active,2025-01-15,2030-01-15
CARD98192,CUST98922,Amex Elite,15408.84,6842.38,Active,2025-01-15,2030-01-15
CARD98193,CUST98479,Mastercard Standard,36033.97,7082.48,Active,2025-01-15,2030-01-15
CARD98194,CUST98998,Visa Platinum,3380.5,1382.41,Active,2025-01-15,2030-01-15
CARD98195,CUST98800,Mastercard Standard,16376.29,9803.8,Active,2025-01-15,2030-01-15
CARD98196,CUST98448,Amex Elite,10392.46,7505.7,Active,2025-01-15,2030-01-15
CARD98197,CUST98924,Mastercard Standard,21446.47,1536.16,Active,2025-01-15,2030-01-15
CARD98198,CUST98956,Mastercard Standard,26890.91,6677.16,Active,2025-01-15,2030-01-15
CARD98199,CUST98835,Amex Elite,49851.63,2561.97,Active,2025-01-15,2030-01-15
CARD98200,CUST98938,Mastercard Standard,2558.89,8906.93,Active,2025-01-15,2030-01-15
CARD98201,CUST98445,Mastercard Standard,10607.3,4216.97,Active,2025-01-15,2030-01-15
CARD98202,CUST98528,Visa Platinum,5843.7,851.97,Active,2025-01-15,2030-01-15
CARD98203,CUST98942,Visa Gold,9831.6,5540.84,Active,2025-01-15,2030-01-15
CARD98204,CUST98392,Amex Elite,44970.99,6343.01,Active,2025-01-15,2030-01-15
CARD98205,CUST98959,Visa Gold,24403.98,2447.4,Active,2025-01-15,2030-01-15
CARD98206,CUST98204,Amex Elite,27609.6,9635.05,Active,2025-01-15,2030-01-15
CARD98207,CUST98273,Visa Gold,22309.16,4965.47,Active,2025-01-15,2030-01-15
CARD98208,CUST98676,Amex Elite,31865.06,9997.93,Active,2025-01-15,2030-01-15
CARD98209,CUST98743,Amex Elite,23650.41,4166.65,Active,2025-01-15,2030-01-15
CARD98210,CUST98123,Mastercard Standard,48028.65,2933.29,Active,2025-01-15,2030-01-15
CARD98211,CUST98964,Mastercard Standard,42947.99,9812.23,Active,2025-01-15,2030-01-15
CARD98212,CUST98125,Mastercard Standard,17640.83,3245.43,Active,2025-01-15,2030-01-15
CARD98213,CUST98069,Amex Elite,33832.71,1246.11,Active,2025-01-15,2030-01-15
CARD98214,CUST98114,Visa Gold,38365.02,1824.94,Active,2025-01-15,2030-01-15
CARD98215,CUST98868,Visa Gold,45246.99,6044.46,Active,2025-01-15,2030-01-15
CARD98216,CUST98087,Mastercard Standard,6054.31,3795.51,Active,2025-01-15,2030-01-15
CARD98217,CUST98318,Visa Gold,15674.87,1422.14,Active,2025-01-15,2030-01-15
CARD98218,CUST98248,Visa Platinum,33487.89,1556.66,Active,2025-01-15,2030-01-15
CARD98219,CUST98527,Visa Platinum,24970.01,314.72,Active,2025-01-15,2030-01-15
CARD98220,CUST98122,Visa Gold,8014.14,4074.03,Active,2025-01-15,2030-01-15
CARD98221,CUST98956,Visa Gold,3276.25,2554.51,Active,2025-01-15,2030-01-15
CARD98222,CUST98337,Mastercard Standard,26968.33,2753.78,Active,2025-01-15,2030-01-15
CARD98223,CUST98472,Mastercard Standard,34028.69,7376.41,Active,2025-01-15,2030-01-15
CARD98224,CUST98512,Mastercard Standard,23212.95,6066.72,Active,2025-01-15,2030-01-15
CARD98225,CUST98800,Visa Platinum,25122.29,4.31,Active,2025-01-15,2030-01-15
CARD98226,CUST98857,Mastercard Standard,22375.55,2165.76,Active,2025-01-15,2030-01-15
CARD98227,CUST98175,Amex Elite,31930.88,4402.67,Active,2025-01-15,2030-01-15
CARD98228,CUST98357,Visa Platinum,46481.27,3284.88,Active,2025-01-15,2030-01-15
CARD98229,CUST98140,Visa Platinum,42906.21,5777.04,Active,2025-01-15,2030-01-15
CARD98230,CUST98679,Amex Elite,5370.71,1091.98,Active,2025-01-15,2030-01-15
CARD98231,CUST98240,Visa Gold,21206.14,6767.73,Active,2025-01-15,2030-01-15
CARD98232,CUST98712,Mastercard Standard,29261.55,9999.61,Active,2025-01-15,2030-01-15
CARD98233,CUST98926,Amex Elite,19533.58,3279.49,Active,2025-01-15,2030-01-15
CARD98234,CUST98171,Amex Elite,25126.05,1469.99,Active,2025-01-15,2030-01-15
CARD98235,CUST98055,Visa Gold,46252.79,7321.73,Active,2025-01-15,2030-01-15
CARD98236,CUST98990,Mastercard Standard,48585.31,1182.64,Active,2025-01-15,2030-01-15
CARD98237,CUST98764,Visa Platinum,43350.79,857.12,Active,2025-01-15,2030-01-15
CARD98238,CUST98825,Mastercard Standard,11743.93,1856.66,Active,2025-01-15,2030-01-15
CARD98239,CUST98256,Visa Gold,41546.28,2436.1,Active,2025-01-15,2030-01-15
CARD98240,CUST98085,Visa Gold,13075.21,6398.48,Active,2025-01-15,2030-01-15
CARD98241,CUST98707,Visa Gold,22150.46,6691.31,Active,2025-01-15,2030-01-15
CARD98242,CUST98696,Amex Elite,25775.06,6966.15,Active,2025-01-15,2030-01-15
CARD98243,CUST98221,Amex Elite,42878.78,8027.98,Active,2025-01-15,2030-01-15
CARD98244,CUST98494,Visa Platinum,49755.47,8020.75,Active,2025-01-15,2030-01-15
CARD98245,CUST98051,Mastercard Standard,38847.44,7593.91,Active,2025-01-15,2030-01-15
CARD98246,CUST98431,Mastercard Standard,12164.62,3627.12,Active,2025-01-15,2030-01-15
CARD98247,CUST98701,Amex Elite,34855.42,8002.73,Active,2025-01-15,2030-01-15
CARD98248,CUST98868,Mastercard Standard,4782.06,4176.79,Active,2025-01-15,2030-01-15
CARD98249,CUST98220,Visa Gold,13243.31,7186.62,Active,2025-01-15,2030-01-15
CARD98250,CUST98286,Mastercard Standard,14536.17,2878.73,Active,2025-01-15,2030-01-15
CARD98251,CUST98426,Visa Platinum,34635.47,2077.6,Active,2025-01-15,2030-01-15
CARD98252,CUST98101,Visa Platinum,45990.6,9994.8,Active,2025-01-15,2030-01-15
CARD98253,CUST98047,Visa Platinum,10972.12,6690.68,Active,2025-01-15,2030-01-15
CARD98254,CUST98664,Amex Elite,13302.18,6890.38,Active,2025-01-15,2030-01-15
CARD98255,CUST98328,Visa Gold,1359.01,7082.29,Active,2025-01-15,2030-01-15
CARD98256,CUST98179,Visa Gold,35866.82,2495.47,Active,2025-01-15,2030-01-15
CARD98257,CUST98501,Mastercard Standard,23950.61,4459.88,Active,2025-01-15,2030-01-15
CARD98258,CUST98153,Mastercard Standard,22335.87,2874.87,Active,2025-01-15,2030-01-15
CARD98259,CUST98937,Visa Gold,7588.97,6525.0,Active,2025-01-15,2030-01-15
CARD98260,CUST98915,Visa Platinum,27145.87,2070.49,Active,2025-01-15,2030-01-15
CARD98261,CUST98771,Visa Gold,19689.74,3940.09,Active,2025-01-15,2030-01-15
CARD98262,CUST98205,Visa Platinum,24018.57,5566.95,Active,2025-01-15,2030-01-15
CARD98263,CUST98515,Mastercard Standard,9882.94,36.58,Active,2025-01-15,2030-01-15
CARD98264,CUST98281,Visa Platinum,33747.07,6533.69,Active,2025-01-15,2030-01-15
CARD98265,CUST98675,Mastercard Standard,43284.49,6082.09,Active,2025-01-15,2030-01-15
CARD98266,CUST98338,Mastercard Standard,1598.87,4156.39,Active,2025-01-15,2030-01-15
CARD98267,CUST98194,Visa Platinum,30148.17,1184.63,Active,2025-01-15,2030-01-15
CARD98268,CUST98623,Amex Elite,23709.92,7202.95,Active,2025-01-15,2030-01-15
CARD98269,CUST98441,Amex Elite,47180.78,8148.68,Active,2025-01-15,2030-01-15
CARD98270,CUST98498,Mastercard Standard,40564.47,2163.61,Active,2025-01-15,2030-01-15
CARD98271,CUST98415,Amex Elite,18888.5,1850.28,Active,2025-01-15,2030-01-15
CARD98272,CUST98868,Mastercard Standard,20783.19,6324.98,Active,2025-01-15,2030-01-15
CARD98273,CUST98033,Amex Elite,9484.47,9156.54,Active,2025-01-15,2030-01-15
CARD98274,CUST98711,Visa Gold,33179.97,6761.88,Active,2025-01-15,2030-01-15
CARD98275,CUST98283,Visa Platinum,7332.18,8564.87,Active,2025-01-15,2030-01-15
CARD98276,CUST98751,Visa Gold,30491.95,3696.69,Active,2025-01-15,2030-01-15
CARD98277,CUST98804,Mastercard Standard,20107.91,5561.02,Active,2025-01-15,2030-01-15
CARD98278,CUST98974,Visa Platinum,26799.85,9444.42,Active,2025-01-15,2030-01-15
CARD98279,CUST98637,Amex Elite,26115.8,7639.83,Active,2025-01-15,2030-01-15
CARD98280,CUST98266,Amex Elite,10204.18,6095.13,Active,2025-01-15,2030-01-15
CARD98281,CUST98224,Mastercard Standard,30664.39,8131.54,Active,2025-01-15,2030-01-15
CARD98282,CUST98459,Mastercard Standard,9097.32,7026.01,Active,2025-01-15,2030-01-15
CARD98283,CUST98228,Visa Gold,40847.35,726.37,Active,2025-01-15,2030-01-15
CARD98284,CUST98647,Visa Platinum,12856.27,8337.4,Active,2025-01-15,2030-01-15
CARD98285,CUST98873,Amex Elite,7617.08,5621.3,Active,2025-01-15,2030-01-15
CARD98286,CUST98981,Visa Gold,29094.43,1535.97,Active,2025-01-15,2030-01-15
CARD98287,CUST98159,Visa Platinum,32352.6,5503.4,Active,2025-01-15,2030-01-15
CARD98288,CUST98838,Amex Elite,19191.59,4938.15,Active,2025-01-15,2030-01-15
CARD98289,CUST98684,Mastercard Standard,47805.29,2669.11,Active,2025-01-15,2030-01-15
CARD98290,CUST98210,Mastercard Standard,23177.33,6353.93,Active,2025-01-15,2030-01-15
CARD98291,CUST98176,Visa Platinum,31993.54,3718.95,Active,2025-01-15,2030-01-15
CARD98292,CUST98885,Amex Elite,21803.61,510.75,Active,2025-01-15,2030-01-15
CARD98293,CUST98256,Visa Gold,32716.06,8900.6,Active,2025-01-15,2030-01-15
CARD98294,CUST98785,Mastercard Standard,20839.28,4628.36,Active,2025-01-15,2030-01-15
CARD98295,CUST98056,Visa Platinum,28495.6,6694.36,Active,2025-01-15,2030-01-15
CARD98296,CUST98696,Amex Elite,46473.33,3372.49,Active,2025-01-15,2030-01-15
CARD98297,CUST98177,Amex Elite,34590.54,5266.04,Active,2025-01-15,2030-01-15
CARD98298,CUST98628,Visa Platinum,38937.42,678.07,Active,2025-01-15,2030-01-15
