transaction_id,customer_id,account_number,amount,date,type,channel,merchant,description,is_fraud
TXN98087,CUST98793,ACC98860,818.09,2025-06-28,Credit,ATM,Standard Merchant,General purchase,0
TXN98088,CUST98595,ACC98435,49.36,2025-06-04,Transfer,POS,Standard Merchant,General purchase,0
TXN98089,CUST98696,ACC98097,3239.49,2025-06-30,Transfer,Online,Standard Merchant,General purchase,0
TXN98090,CUST98346,ACC98425,1126.19,2025-06-06,Credit,Branch,Standard Merchant,General purchase,0
TXN98091,CUST98622,ACC98410,2045.7,2025-06-12,Transfer,ATM,Standard Merchant,General purchase,0
TXN98092,CUST98510,ACC98819,333.25,2025-06-07,Debit,POS,Standard Merchant,General purchase,0
TXN98093,CUST98639,ACC98512,1305.32,2025-06-29,Transfer,Online,Standard Merchant,General purchase,0
TXN98094,CUST98023,ACC98670,268.42,2025-06-02,Transfer,ATM,Standard Merchant,General purchase,0
TXN98095,CUST98931,ACC98743,4726.62,2025-06-20,Debit,Branch,Standard Merchant,General purchase,0
TXN98096,CUST98275,ACC98110,2882.92,2025-06-23,Transfer,ATM,Standard Merchant,General purchase,0
TXN98097,CUST98274,ACC98045,3675.46,2025-06-08,Transfer,ATM,Standard Merchant,General purchase,0
TXN98098,CUST98774,ACC98347,4907.34,2025-06-17,Transfer,Online,Standard Merchant,General purchase,0
TXN98099,CUST98489,ACC98173,1739.74,2025-06-03,Transfer,Branch,Standard Merchant,General purchase,0
TXN98100,CUST98947,ACC98580,4302.69,2025-06-27,Credit,Branch,Standard Merchant,General purchase,0
TXN98101,CUST98071,ACC98109,1211.64,2025-06-25,Credit,Online,Standard Merchant,General purchase,0
TXN98102,CUST98584,ACC98694,1761.61,2025-06-12,Transfer,ATM,Standard Merchant,General purchase,0
TXN98103,CUST98682,ACC98588,4157.46,2025-06-30,Credit,POS,Standard Merchant,General purchase,0
TXN98104,CUST98129,ACC98790,849.42,2025-06-05,Credit,Branch,Standard Merchant,General purchase,0
TXN98105,CUST98101,ACC98097,2506.21,2025-06-29,Credit,ATM,Standard Merchant,General purchase,0
TXN98106,CUST98582,ACC98172,4490.9,2025-06-10,Transfer,Branch,Standard Merchant,General purchase,0
TXN98107,CUST98670,ACC98537,4362.86,2025-06-12,Transfer,POS,Standard Merchant,General purchase,0
TXN98108,CUST98462,ACC98959,261.88,2025-06-21,Debit,ATM,Standard Merchant,General purchase,0
TXN98109,CUST98355,ACC98798,1525.65,2025-06-14,Debit,ATM,Standard Merchant,General purchase,0
TXN98110,CUST98468,ACC98638,3062.8,2025-06-04,Transfer,POS,Standard Merchant,General purchase,0
TXN98111,CUST98694,ACC98513,1218.62,2025-06-21,Credit,ATM,Standard Merchant,General purchase,0
TXN98112,CUST98198,ACC98207,29.77,2025-06-09,Transfer,POS,Standard Merchant,General purchase,0
TXN98113,CUST98588,ACC98925,3421.12,2025-06-22,Debit,Online,Standard Merchant,General purchase,0
TXN98114,CUST98157,ACC98574,2396.6,2025-06-12,Debit,POS,Standard Merchant,General purchase,0
TXN98115,CUST98854,ACC98474,255.48,2025-06-16,Credit,Branch,Standard Merchant,General purchase,0
TXN98116,CUST98742,ACC98064,935.99,2025-06-25,Debit,Branch,Standard Merchant,General purchase,0
TXN98117,CUST98385,ACC98530,3674.54,2025-06-02,Debit,Branch,Standard Merchant,General purchase,0
TXN98118,CUST98720,ACC98117,1239.23,2025-06-14,Credit,Branch,Standard Merchant,General purchase,0
TXN98119,CUST98876,ACC98148,2873.28,2025-06-30,Transfer,POS,Standard Merchant,General purchase,0
TXN98120,CUST98983,ACC98589,2648.89,2025-06-08,Debit,POS,Standard Merchant,General purchase,0
TXN98121,CUST98736,ACC98688,3001.15,2025-06-23,Transfer,POS,Standard Merchant,General purchase,0
TXN98122,CUST98315,ACC98798,2814.17,2025-06-30,Transfer,POS,Standard Merchant,General purchase,0
TXN98123,CUST98351,ACC98634,3297.36,2025-06-05,Transfer,POS,Standard Merchant,General purchase,0
TXN98124,CUST98300,ACC98507,3267.64,2025-06-25,Debit,Branch,Standard Merchant,General purchase,0
TXN98125,CUST98721,ACC98804,2072.83,2025-06-14,Debit,ATM,Standard Merchant,General purchase,0
TXN98126,CUST98522,ACC98596,3641.33,2025-06-20,Credit,Online,Standard Merchant,General purchase,0
TXN98127,CUST98461,ACC98719,2762.98,2025-06-17,Credit,ATM,Standard Merchant,General purchase,0
TXN98128,CUST98723,ACC98081,2468.61,2025-06-14,Debit,Online,Standard Merchant,General purchase,0
TXN98129,CUST98133,ACC98809,2130.69,2025-06-14,Debit,ATM,Standard Merchant,General purchase,0
TXN98130,CUST98402,ACC98237,2909.7,2025-06-23,Transfer,Branch,Standard Merchant,General purchase,0
TXN98131,CUST98265,ACC98834,2896.42,2025-06-09,Debit,ATM,Standard Merchant,General purchase,0
TXN98132,CUST98277,ACC98161,4588.7,2025-06-28,Credit,Branch,Standard Merchant,General purchase,0
TXN98133,CUST98496,ACC98224,4296.76,2025-06-11,Debit,Online,Standard Merchant,General purchase,0
TXN98134,CUST98292,ACC98647,1726.74,2025-06-01,Credit,Online,Standard Merchant,General purchase,0
TXN98135,CUST98106,ACC98398,1028.32,2025-06-01,Credit,POS,Standard Merchant,General purchase,0
TXN98136,CUST98781,ACC98144,886.98,2025-06-23,Credit,POS,Standard Merchant,General purchase,0
TXN98137,CUST98863,ACC98814,4018.29,2025-06-23,Debit,Online,Standard Merchant,General purchase,0
TXN98138,CUST98788,ACC98655,4883.24,2025-06-28,Transfer,ATM,Standard Merchant,General purchase,0
TXN98139,CUST98908,ACC98710,4167.44,2025-06-28,Credit,ATM,Standard Merchant,General purchase,0
TXN98140,CUST98240,ACC98452,3042.7,2025-06-05,Credit,ATM,Standard Merchant,General purchase,0
TXN98141,CUST98678,ACC98265,1314.09,2025-06-01,Credit,ATM,Standard Merchant,General purchase,0
TXN98142,CUST98275,ACC98155,2827.14,2025-06-21,Transfer,POS,Standard Merchant,General purchase,0
TXN98143,CUST98771,ACC98506,4718.29,2025-06-17,Transfer,Branch,Standard Merchant,General purchase,0
TXN98144,CUST98301,ACC98583,3353.61,2025-06-10,Transfer,Branch,Standard Merchant,General purchase,0
TXN98145,CUST98460,ACC98961,4592.92,2025-06-20,Transfer,Branch,Standard Merchant,General purchase,0
TXN98146,CUST98615,ACC98206,2223.22,2025-06-12,Transfer,Branch,Standard Merchant,General purchase,0
TXN98147,CUST98711,ACC98862,1225.59,2025-06-19,Credit,Online,Standard Merchant,General purchase,0
TXN98148,CUST98924,ACC98897,3176.5,2025-06-19,Debit,Branch,Standard Merchant,General purchase,0
TXN98149,CUST98154,ACC98358,3755.65,2025-06-06,Debit,POS,Standard Merchant,General purchase,0
TXN98150,CUST98980,ACC98767,3767.52,2025-06-20,Credit,Branch,Standard Merchant,General purchase,0
TXN98151,CUST98284,ACC98347,4053.03,2025-06-08,Debit,POS,Standard Merchant,General purchase,0
TXN98152,CUST98213,ACC98655,1694.63,2025-06-11,Credit,Online,Standard Merchant,General purchase,0
TXN98153,CUST98651,ACC98154,2880.47,2025-06-21,Credit,Online,Standard Merchant,General purchase,0
TXN98154,CUST98432,ACC98432,4581.98,2025-06-02,Debit,Online,Standard Merchant,General purchase,0
TXN98155,CUST98732,ACC98215,1780.62,2025-06-09,Transfer,Online,Standard Merchant,General purchase,0
TXN98156,CUST98343,ACC98307,2223.63,2025-06-06,Transfer,POS,Standard Merchant,General purchase,0
TXN98157,CUST98336,ACC98115,3833.11,2025-06-13,Debit,ATM,Standard Merchant,General purchase,0
TXN98158,CUST98706,ACC98832,745.37,2025-06-26,Debit,POS,Standard Merchant,General purchase,0
TXN98159,CUST98819,ACC98233,2278.83,2025-06-27,Credit,Branch,Standard Merchant,General purchase,0
TXN98160,CUST98976,ACC98488,4615.85,2025-06-27,Credit,Online,Standard Merchant,General purchase,0
TXN98161,CUST98428,ACC98108,272.36,2025-06-09,Debit,Online,Standard Merchant,General purchase,0
TXN98162,CUST98054,ACC98364,2701.3,2025-06-21,Transfer,Online,Standard Merchant,General purchase,0
TXN98163,CUST98502,ACC98418,3571.19,2025-06-30,Debit,ATM,Standard Merchant,General purchase,0
TXN98164,CUST98784,ACC98791,4753.49,2025-06-21,Debit,POS,Standard Merchant,General purchase,0
TXN98165,CUST98590,ACC98936,71.8,2025-06-15,Credit,ATM,Standard Merchant,General purchase,0
TXN98166,CUST98237,ACC98314,2933.3,2025-06-24,Transfer,POS,Standard Merchant,General purchase,0
TXN98167,CUST98928,ACC98825,1828.19,2025-06-29,Credit,POS,Standard Merchant,General purchase,0
TXN98168,CUST98526,ACC98843,3219.88,2025-06-16,Transfer,POS,Standard Merchant,General purchase,0
TXN98169,CUST98619,ACC98701,4273.42,2025-06-30,Debit,POS,Standard Merchant,General purchase,0
TXN98170,CUST98967,ACC98089,2657.93,2025-06-12,Debit,POS,Standard Merchant,General purchase,0
TXN98171,CUST98307,ACC98612,4429.28,2025-06-30,Credit,Branch,Standard Merchant,General purchase,0
TXN98172,CUST98571,ACC98392,2022.57,2025-06-23,Debit,Online,Standard Merchant,General purchase,0
TXN98173,CUST98647,ACC98095,4670.25,2025-06-06,Transfer,Branch,Standard Merchant,General purchase,0
TXN98174,CUST98201,ACC98522,3406.55,2025-06-27,Credit,POS,Standard Merchant,General purchase,0
TXN98175,CUST98337,ACC98645,1593.5,2025-06-01,Transfer,POS,Standard Merchant,General purchase,0
TXN98176,CUST98149,ACC98315,2950.1,2025-06-12,Debit,POS,Standard Merchant,General purchase,0
TXN98177,CUST98410,ACC98131,4565.83,2025-06-14,Debit,Branch,Standard Merchant,General purchase,0
TXN98178,CUST98375,ACC98922,988.4,2025-06-21,Transfer,POS,Standard Merchant,General purchase,0
TXN98179,CUST98335,ACC98676,419.73,2025-06-07,Transfer,Online,Standard Merchant,General purchase,0
TXN98180,CUST98117,ACC98398,1402.58,2025-06-14,Transfer,ATM,Standard Merchant,General purchase,0
TXN98181,CUST98228,ACC98651,1371.01,2025-06-16,Credit,Branch,Standard Merchant,General purchase,0
TXN98182,CUST98158,ACC98615,3613.51,2025-06-17,Debit,ATM,Standard Merchant,General purchase,0
TXN98183,CUST98496,ACC98961,2241.51,2025-06-21,Debit,POS,Standard Merchant,General purchase,0
TXN98184,CUST98703,ACC98796,1291.22,2025-06-13,Credit,ATM,Standard Merchant,General purchase,0
TXN98185,CUST98926,ACC98120,3389.54,2025-06-30,Debit,Branch,Standard Merchant,General purchase,0
TXN98186,CUST98849,ACC98545,4982.16,2025-06-08,Transfer,Online,Standard Merchant,General purchase,0
TXN98187,CUST98295,ACC98433,580.46,2025-06-21,Credit,Online,Standard Merchant,General purchase,0
TXN98188,CUST98312,ACC98010,953.26,2025-06-25,Debit,Online,Standard Merchant,General purchase,0
TXN98189,CUST98868,ACC98450,2855.12,2025-06-30,Transfer,POS,Standard Merchant,General purchase,0
TXN98190,CUST98658,ACC98340,2741.48,2025-06-19,Credit,ATM,Standard Merchant,General purchase,0
TXN98191,CUST98193,ACC98450,3476.16,2025-06-08,Credit,Online,Standard Merchant,General purchase,0
TXN98192,CUST98745,ACC98773,83.93,2025-06-08,Debit,Online,Standard Merchant,General purchase,0
TXN98193,CUST98032,ACC98331,702.15,2025-06-18,Credit,Branch,Standard Merchant,General purchase,0
TXN98194,CUST98812,ACC98872,1107.86,2025-06-18,Transfer,POS,Standard Merchant,General purchase,0
TXN98195,CUST98202,ACC98935,2055.86,2025-06-14,Debit,Branch,Standard Merchant,General purchase,0
TXN98196,CUST98323,ACC98798,56.67,2025-06-15,Credit,POS,Standard Merchant,General purchase,0
TXN98197,CUST98179,ACC98287,4152.47,2025-06-28,Debit,POS,Standard Merchant,General purchase,0
TXN98198,CUST98261,ACC98589,1916.91,2025-06-07,Transfer,ATM,Standard Merchant,General purchase,0
TXN98199,CUST98615,ACC98139,4498.32,2025-06-07,Credit,POS,Standard Merchant,General purchase,0
TXN98200,CUST98297,ACC98538,4778.95,2025-06-20,Transfer,POS,Standard Merchant,General purchase,0
TXN98201,CUST98731,ACC98712,3588.15,2025-06-27,Transfer,POS,Standard Merchant,General purchase,0
TXN98202,CUST98849,ACC98576,2126.92,2025-06-09,Transfer,Online,Standard Merchant,General purchase,0
TXN98203,CUST98876,ACC98315,1242.89,2025-06-20,Credit,ATM,Standard Merchant,General purchase,0
TXN98204,CUST98225,ACC98868,1863.86,2025-06-23,Credit,POS,Standard Merchant,General purchase,0
TXN98205,CUST98644,ACC98967,4545.5,2025-06-11,Transfer,Branch,Standard Merchant,General purchase,0
TXN98206,CUST98372,ACC98436,480.83,2025-06-27,Credit,POS,Standard Merchant,General purchase,0
TXN98207,CUST98078,ACC98450,1770.75,2025-06-12,Debit,Online,Standard Merchant,General purchase,0
TXN98208,CUST98569,ACC98534,149.23,2025-06-06,Debit,POS,Standard Merchant,General purchase,0
TXN98209,CUST98678,ACC98703,3601.01,2025-06-03,Credit,ATM,Standard Merchant,General purchase,0
TXN98210,CUST98159,ACC98631,3864.73,2025-06-14,Credit,ATM,Standard Merchant,General purchase,0
TXN98211,CUST98884,ACC98917,2856.75,2025-06-20,Debit,ATM,Standard Merchant,General purchase,0
TXN98212,CUST98577,ACC98496,3634.13,2025-06-18,Debit,Branch,Standard Merchant,General purchase,0
TXN98213,CUST98075,ACC98599,4874.76,2025-06-15,Debit,Branch,Standard Merchant,General purchase,0
TXN98214,CUST98536,ACC98749,4647.45,2025-06-21,Transfer,Online,Standard Merchant,General purchase,0
TXN98215,CUST98782,ACC98475,1255.7,2025-06-04,Credit,POS,Standard Merchant,General purchase,0
TXN98216,CUST98666,ACC98858,3145.21,2025-06-15,Debit,ATM,Standard Merchant,General purchase,0
TXN98217,CUST98653,ACC98215,3205.9,2025-06-09,Debit,Branch,Standard Merchant,General purchase,0
TXN98218,CUST98768,ACC98861,294.09,2025-06-22,Credit,POS,Standard Merchant,General purchase,0
TXN98219,CUST98998,ACC98727,996.52,2025-06-05,Debit,POS,Standard Merchant,General purchase,0
TXN98220,CUST98921,ACC98492,427.68,2025-06-23,Credit,ATM,Standard Merchant,General purchase,0
TXN98221,CUST98311,ACC98161,442.69,2025-06-21,Transfer,Online,Standard Merchant,General purchase,0
TXN98222,CUST98900,ACC98642,3792.58,2025-06-01,Debit,Branch,Standard Merchant,General purchase,0
TXN98223,CUST98231,ACC98323,667.75,2025-06-20,Credit,ATM,Standard Merchant,General purchase,0
TXN98224,CUST98232,ACC98899,4609.29,2025-06-21,Transfer,POS,Standard Merchant,General purchase,0
TXN98225,CUST98231,ACC98045,1246.8,2025-06-20,Debit,POS,Standard Merchant,General purchase,0
TXN98226,CUST98234,ACC98806,2846.92,2025-06-10,Transfer,ATM,Standard Merchant,General purchase,0
TXN98227,CUST98700,ACC98552,1422.73,2025-06-28,Transfer,POS,Standard Merchant,General purchase,0
TXN98228,CUST98037,ACC98640,4164.5,2025-06-08,Credit,POS,Standard Merchant,General purchase,0
TXN98229,CUST98813,ACC98335,4243.83,2025-06-28,Debit,Online,Standard Merchant,General purchase,0
TXN98230,CUST98110,ACC98477,3606.23,2025-06-27,Debit,ATM,Standard Merchant,General purchase,0
TXN98231,CUST98799,ACC98461,4066.23,2025-06-06,Credit,POS,Standard Merchant,General purchase,0
TXN98232,CUST98604,ACC98199,2475.39,2025-06-26,Debit,Online,Standard Merchant,General purchase,0
TXN98233,CUST98199,ACC98977,4416.85,2025-06-14,Transfer,Branch,Standard Merchant,General purchase,0
TXN98234,CUST98212,ACC98260,336.97,2025-06-22,Credit,POS,Standard Merchant,General purchase,0
TXN98235,CUST98725,ACC98267,4846.51,2025-06-29,Credit,Branch,Standard Merchant,General purchase,0
TXN98236,CUST98187,ACC98621,2152.28,2025-06-26,Debit,Branch,Standard Merchant,General purchase,0
TXN98237,CUST98311,ACC98007,1142.46,2025-06-26,Credit,ATM,Standard Merchant,General purchase,0
TXN98238,CUST98744,ACC98819,182.03,2025-06-18,Debit,POS,Standard Merchant,General purchase,0
TXN98239,CUST98348,ACC98340,2271.07,2025-06-06,Transfer,Online,Standard Merchant,General purchase,0
TXN98240,CUST98869,ACC98719,4716.32,2025-06-27,Transfer,ATM,Standard Merchant,General purchase,0
TXN98241,CUST98215,ACC98823,420.64,2025-06-19,Transfer,ATM,Standard Merchant,General purchase,0
TXN98242,CUST98140,ACC98629,1747.67,2025-06-24,Transfer,POS,Standard Merchant,General purchase,0
TXN98243,CUST98900,ACC98337,1590.71,2025-06-03,Debit,Branch,Standard Merchant,General purchase,0
TXN98244,CUST98126,ACC98332,4672.08,2025-06-02,Debit,POS,Standard Merchant,General purchase,0
TXN98245,CUST98968,ACC98254,4160.89,2025-06-18,Credit,ATM,Standard Merchant,General purchase,0
TXN98246,CUST98724,ACC98107,3072.5,2025-06-20,Debit,Branch,Standard Merchant,General purchase,0
TXN98247,CUST98712,ACC98185,66.39,2025-06-01,Transfer,POS,Standard Merchant,General purchase,0
TXN98248,CUST98541,ACC98865,2313.43,2025-06-14,Transfer,ATM,Standard Merchant,General purchase,0
TXN98249,CUST98239,ACC98023,530.33,2025-06-26,Debit,Online,Standard Merchant,General purchase,0
TXN98250,CUST98741,ACC98278,2549.09,2025-06-01,Debit,ATM,Standard Merchant,General purchase,0
TXN98251,CUST98716,ACC98421,2632.63,2025-06-26,Transfer,Online,Standard Merchant,General purchase,0
TXN98252,CUST98555,ACC98394,3478.71,2025-06-04,Credit,POS,Standard Merchant,General purchase,0
TXN98253,CUST98097,ACC98341,1799.12,2025-06-19,Transfer,Branch,Standard Merchant,General purchase,0
TXN98254,CUST98723,ACC98557,1545.45,2025-06-14,Transfer,POS,Standard Merchant,General purchase,0
TXN98255,CUST98117,ACC98372,2699.85,2025-06-06,Debit,Branch,Standard Merchant,General purchase,0
TXN98256,CUST98083,ACC98833,1381.49,2025-06-20,Transfer,POS,Standard Merchant,General purchase,0
TXN98257,CUST98094,ACC98961,1317.64,2025-06-11,Transfer,POS,Standard Merchant,General purchase,0
TXN98258,CUST98792,ACC98414,2106.08,2025-06-21,Debit,Online,Standard Merchant,General purchase,0
TXN98259,CUST98719,ACC98650,1140.15,2025-06-04,Transfer,Branch,Standard Merchant,General purchase,0
TXN98260,CUST98844,ACC98559,630.76,2025-06-07,Credit,Online,Standard Merchant,General purchase,0
TXN98261,CUST98415,ACC98235,1342.2,2025-06-12,Transfer,ATM,Standard Merchant,General purchase,0
TXN98262,CUST98337,ACC98034,2595.91,2025-06-30,Debit,Online,Standard Merchant,General purchase,0
TXN98263,CUST98713,ACC98770,652.27,2025-06-28,Credit,Branch,Standard Merchant,General purchase,0
TXN98264,CUST98878,ACC98513,160.75,2025-06-21,Credit,ATM,Standard Merchant,General purchase,0
